Temp,S,lamda,sigma
300,184.14105,1.07308,1174.05596
320,190.62592,1.05558,1071.89156
340,196.71049,1.04213,982.91188
360,202.40464,1.03339,904.81964
380,207.69723,1.0303,835.83853
400,212.53639,1.03407,774.74808
420,216.8335,1.04619,720.704
440,220.53378,1.06805,672.57365
460,223.5101,1.10138,629.85134
480,225.65154,1.14784,591.86765
500,226.80565,1.20918,558.29013
520,226.83104,1.28695,528.72614
540,225.58148,1.38248,502.92953
560,222.94785,1.49681,480.44569
580,218.81261,1.63039,461.26576
600,213.12362,1.78318,445.14519
620,205.87407,1.95452,431.87052
640,197.12229,2.14295,421.35661
660,186.97504,2.34672,413.35582
680,175.60287,2.56344,407.74149
700,163.22988,2.79034,404.38078
720,150.10166,3.02467,403.10027
740,136.47752,3.26375,403.73468
760,122.59402,3.50525,406.09718
780,108.71455,3.74682,410.06711
800,95.03606,3.9868,415.47164
