Temp,S,lamda,sigma
300,-182.0501,1.15093,956.15835
320,-188.27349,1.13855,890.45288
340,-194.12502,1.13159,832.32932
360,-199.57729,1.1308,780.78552
380,-204.57167,1.13714,735.16145
400,-209.05666,1.15155,694.75152
420,-212.94352,1.17516,659.22657
440,-216.16092,1.20891,628.16122
460,-218.63245,1.2537,601.2909
480,-220.28917,1.31021,578.46842
500,-221.10274,1.37875,559.43928
520,-221.07648,1.4593,543.96725
540,-220.24779,1.55145,531.83665
560,-218.68847,1.65449,522.84782
580,-216.50576,1.76743,516.67407
600,-213.81624,1.88904,513.24366
620,-210.75647,2.01816,512.08938
640,-207.45197,2.15349,513.07227
660,-204.01809,2.29393,515.89015
680,-200.55089,2.4385,520.28745
700,-197.12746,2.58634,526.04489
720,-193.8181,2.73653,533.08257
740,-190.65043,2.88872,541.0712
760,-187.65802,3.04231,549.9251
780,-184.85777,3.19688,559.52121
800,-182.25737,3.35207,569.75029
